iter	RMSE
0	62568.14472
1	61706.93618
2	60846.14293
3	60018.85095
4	59166.32685
5	58533.23477
6	57649.68407
7	56779.50119
8	56138.66921
9	55448.82568
10	54557.06795
11	54009.53671
12	53379.47258
13	52604.1036
14	52001.87394
15	51461.86812
16	50707.72477
17	50072.00618
18	49446.19322
19	48919.12161
20	48430.19525
21	47942.88727
22	47457.91786
23	46871.06242
24	46330.65444
25	45747.80324
26	45172.07692
27	44703.23815
28	44169.89844
29	43680.06984
30	43129.42827
31	42701.65268
32	42253.07399
33	41753.86394
34	41293.75417
35	40864.42696
36	40413.72074
37	39969.30809
38	39569.01675
39	39104.6019
40	38698.49369
41	38378.26611
42	38034.15753
43	37636.93884
44	37219.11248
45	36878.50849
46	36459.1518
47	36078.18656
48	35652.52678
49	35238.5088
50	34930.1922
51	34610.58035
52	34349.09781
53	34044.995
54	33796.94762
55	33478.42857
56	33155.45181
57	32914.10389
58	32570.73803
59	32279.54674
60	31938.81572
61	31715.65921
62	31390.93077
63	31172.43949
64	30919.1035
65	30602.12881
66	30323.22487
67	30011.64138
68	29712.34002
69	29419.8193
70	29184.45693
71	28902.48307
72	28611.9815
73	28372.63351
74	28078.86286
75	27838.98405
76	27629.45855
77	27349.26192
78	27153.43876
79	26881.9125
80	26660.66435
81	26455.96369
82	26362.84946
83	26154.54006
84	25940.92743
85	25748.224
86	25523.84226
87	25391.32103
88	25175.56146
89	24972.64355
90	24823.26529
91	24732.24761
92	24554.39588
93	24350.53569
94	24162.90078
95	23967.06366
96	23747.38718
97	23654.45493
98	23472.92824
99	23285.90684
100	23197.56355
101	23101.66916
102	22898.49046
103	22739.41972
104	22634.57077
105	22483.40193
106	22356.05826
107	22216.35479
108	22062.40315
109	21913.77852
110	21745.1968
111	21600.6492
112	21439.40573
113	21326.72509
114	21195.92651
115	20989.61375
116	20807.51255
117	20664.87137
118	20553.50629
119	20424.78869
120	20348.44268
121	20190.03232
122	20063.66191
123	19970.82838
124	19876.91393
125	19740.86728
126	19632.91083
127	19491.55618
128	19382.6583
129	19234.02594
130	19119.98435
131	19017.20144
132	18879.59754
133	18812.66104
134	18669.93089
135	18537.80113
136	18459.01584
137	18372.0265
138	18237.7221
139	18153.25343
140	18095.78356
141	17973.37352
142	17908.35237
143	17799.01628
144	17697.99969
145	17555.08645
146	17489.31984
147	17406.25564
148	17317.42015
149	17263.53685
150	17156.15171
151	17106.2771
152	17013.72858
153	16919.27359
154	16859.7876
155	16774.90996
156	16698.54773
157	16642.3951
158	16548.3409
159	16493.85633
160	16436.52439
161	16362.40744
162	16266.81813
163	16157.31288
164	16045.74209
165	15962.66886
166	15887.22798
167	15831.40605
168	15754.60565
169	15709.631
170	15658.3905
171	15590.91901
172	15499.93669
173	15429.72434
174	15330.79509
175	15286.8029
176	15244.56177
177	15145.56726
178	15108.50289
179	15015.60222
180	14955.19431
181	14896.43619
182	14861.47536
183	14794.00981
184	14695.2897
185	14631.76998
186	14575.35643
187	14538.64666
188	14453.4386
189	14395.77051
190	14351.41967
191	14284.55679
192	14244.83896
193	14152.22329
194	14101.71173
195	14009.20918
196	13969.24968
197	13913.4356
198	13869.43852
199	13833.14876
200	13796.98754
201	13666.0599
202	13623.62313
203	13585.24744
204	13498.76332
205	13451.29953
206	13402.39152
207	13364.54176
208	13269.33179
209	13218.5348
210	13174.13001
211	13135.07401
212	13047.77396
213	12947.7385
214	12862.48971
215	12780.37616
216	12741.25574
217	12659.90447
218	12583.64161
219	12540.52363
220	12429.08692
221	12390.24684
222	12325.9109
223	12237.01411
224	12199.55915
225	12126.97203
226	12089.63604
227	12054.31526
228	11982.46337
229	11895.28823
230	11857.57643
231	11762.39389
232	11729.12569
233	11698.91177
234	11607.82009
235	11559.18422
236	11499.66412
237	11463.05683
238	11430.98059
239	11347.92365
240	11280.27088
241	11204.22627
242	11132.21127
243	11062.0289
244	11027.12753
245	10954.23786
246	10886.17709
247	10805.96886
248	10773.93415
249	10693.83328
250	10672.54701
251	10641.46273
252	10565.14526
253	10495.61032
254	10412.79467
255	10331.06975
256	10254.62789
257	10176.32081
258	10106.72883
259	10078.02904
260	10003.14925
261	9943.428091
262	9916.462886
263	9886.718016
264	9817.342079
265	9753.225767
266	9681.211121
267	9651.807478
268	9584.317001
269	9507.117499
270	9484.210696
271	9418.86737
272	9392.795568
273	9320.879259
274	9249.43884
275	9177.901364
276	9108.935755
277	9082.921775
278	9025.726486
279	9000.294979
280	8933.213085
281	8868.879837
282	8843.723759
283	8768.6241
284	8744.416498
285	8670.684652
286	8605.540012
287	8582.072264
288	8565.456433
289	8547.180932
290	8529.227954
291	8473.557625
292	8458.838678
293	8401.641496
294	8353.949897
295	8295.559037
296	8245.078737
297	8186.185507
298	8139.542406
299	8092.822868
300	8072.760314
301	8027.462409
302	7962.892814
303	7948.054629
304	7899.74754
305	7848.318332
306	7794.418112
307	7778.488662
308	7762.749406
309	7713.821253
310	7656.905644
311	7602.44641
312	7556.132798
313	7511.092115
314	7469.053494
315	7427.48483
316	7410.726035
317	7395.823762
318	7381.099841
319	7366.552431
320	7352.101727
321	7305.636568
322	7262.22866
323	7222.446007
324	7181.040401
325	7135.692647
326	7085.879647
327	7071.973494
328	7029.17012
329	6985.33705
330	6971.71338
331	6931.733026
332	6918.281401
333	6905.014691
334	6868.15434
335	6825.648704
336	6789.552529
337	6749.251109
338	6699.064844
339	6661.265297
340	6648.443737
341	6635.776724
342	6587.312705
343	6550.834232
344	6503.812084
345	6479.933243
346	6446.615933
347	6401.13452
348	6368.839943
349	6324.643366
350	6287.103904
351	6255.957407
352	6214.844473
353	6192.715455
354	6162.622567
355	6130.192496
356	6118.292444
357	6086.261371
358	6054.805443
359	6019.238112
360	6007.672546
361	5983.918903
362	5972.524026
363	5933.556065
364	5894.983134
365	5883.897871
366	5846.66025
367	5809.769533
368	5798.984212
369	5788.329614
370	5749.122948
371	5738.66261
372	5700.459961
373	5665.585078
374	5628.659092
375	5618.558189
376	5608.580325
377	5579.759632
378	5553.113453
379	5543.392642
380	5533.79068
381	5510.583414
382	5476.371384
383	5452.522595
384	5420.638895
385	5389.721393
386	5380.479648
387	5356.989505
388	5322.047466
389	5290.484678
390	5251.258272
391	5242.334661
392	5205.343814
393	5196.553528
394	5158.821881
395	5150.1753
396	5114.598121
397	5079.600223
398	5071.171797
399	5049.947542
400	5021.395451
401	5013.118197
402	4977.516853
403	4969.365927
404	4927.251948
405	4919.26722
406	4885.255255
407	4877.391704
408	4836.773173
409	4820.689716
410	4802.496418
411	4760.628578
412	4728.943609
413	4721.42399
414	4689.483513
415	4682.066859
416	4641.589875
417	4607.545013
418	4600.375974
419	4566.454629
420	4535.971273
421	4507.873968
422	4500.891808
423	4470.916585
424	4438.185027
425	4431.379435
426	4397.504166
427	4360.259347
428	4329.016056
429	4322.472817
430	4286.670342
431	4256.392707
432	4239.797269
433	4204.976702
434	4176.810778
435	4141.613441
436	4116.267424
437	4091.399859
438	4075.615361
439	4045.49078
440	4030.0908
441	4017.394745
442	3990.935689
443	3967.209286
444	3952.454194
445	3919.810014
446	3894.694165
447	3874.727841
448	3846.085703
449	3826.672238
450	3798.896999
451	3771.87813
452	3749.90768
453	3740.39535
454	3718.457357
455	3690.683284
456	3669.35124
457	3646.391523
458	3626.822458
459	3597.775496
460	3572.813668
461	3559.693846
462	3541.973971
463	3522.098702
464	3500.390216
465	3474.230225
466	3457.17857
467	3439.28176
468	3425.964027
469	3406.653212
470	3382.337356
471	3365.308629
472	3338.750461
