iter	Passed	Remaining
0	2	2696
1	5	2848
2	8	2897
3	11	2966
4	14	2979
5	17	2979
6	20	2972
7	23	2963
8	26	2960
9	29	2953
10	32	2949
11	35	2951
12	38	2948
13	42	2961
14	45	2963
15	48	2959
16	51	2956
17	54	2953
18	57	2953
19	60	2954
20	63	2954
21	66	2951
22	69	2949
23	72	2947
24	75	2944
25	78	2941
26	81	2938
27	84	2934
28	87	2934
29	90	2930
30	93	2925
31	96	2921
32	99	2917
33	102	2915
34	105	2920
35	108	2918
36	111	2914
37	114	2909
38	118	2907
39	121	2906
40	124	2904
41	127	2901
42	130	2898
43	133	2895
44	136	2897
45	139	2893
46	142	2889
47	145	2886
48	148	2883
49	151	2880
50	154	2877
51	157	2874
52	160	2870
53	163	2866
54	166	2862
55	169	2859
56	172	2856
57	175	2852
58	178	2848
59	181	2846
60	184	2845
61	199	3023
62	202	3017
63	205	3010
64	208	3004
65	211	2998
66	214	2992
67	217	2986
68	220	2981
69	223	2975
70	226	2969
71	229	2963
72	233	2959
73	236	2954
74	239	2948
75	242	2943
76	245	2938
77	248	2936
78	252	2938
79	255	2939
80	258	2937
81	262	2934
82	265	2930
83	268	2929
84	271	2925
85	274	2922
86	278	2919
87	281	2916
88	284	2913
89	287	2909
90	290	2906
91	294	2904
92	297	2902
93	300	2899
94	304	2896
95	307	2894
96	310	2894
97	325	2995
98	328	2991
99	331	2986
100	335	2982
101	338	2977
102	341	2973
103	344	2970
104	348	2968
105	351	2964
106	354	2961
107	358	2958
108	361	2954
109	364	2949
110	367	2945
111	371	2942
112	374	2938
113	377	2933
114	380	2929
115	383	2923
116	387	2921
117	404	3022
118	420	3112
119	436	3200
120	451	3283
121	455	3277
122	459	3272
123	467	3305
124	483	3387
125	487	3380
126	490	3374
127	494	3368
128	499	3372
129	503	3367
130	506	3360
131	510	3354
132	513	3348
133	531	3432
134	534	3425
135	545	3468
136	549	3461
137	553	3454
138	556	3446
139	559	3439
140	563	3431
141	566	3422
142	569	3413
143	572	3404
144	575	3394
145	578	3384
146	581	3374
147	584	3365
148	587	3356
149	590	3347
150	593	3337
151	596	3328
152	599	3320
153	602	3310
154	605	3302
155	608	3294
156	611	3285
157	614	3275
158	617	3267
159	621	3262
160	624	3256
161	628	3249
162	631	3243
163	635	3237
164	638	3230
165	641	3223
166	644	3217
167	651	3228
168	656	3226
169	660	3222
170	664	3219
171	668	3216
172	671	3210
173	675	3208
174	681	3213
175	685	3208
176	688	3200
177	691	3193
178	694	3185
179	701	3195
180	704	3187
181	707	3179
182	710	3171
183	713	3163
184	716	3155
185	719	3147
186	722	3139
187	725	3132
188	728	3125
189	743	3169
190	746	3161
191	749	3153
192	752	3145
193	755	3137
194	758	3131
195	761	3124
196	764	3117
197	767	3109
198	770	3102
199	773	3095
200	776	3088
201	780	3081
202	783	3074
203	786	3068
204	789	3063
205	793	3056
206	796	3049
207	799	3043
208	802	3037
209	805	3031
210	809	3025
211	812	3020
212	815	3013
213	818	3007
214	821	3000
215	824	2994
216	827	2987
217	830	2980
218	833	2973
219	836	2967
220	839	2960
221	842	2953
222	845	2947
223	848	2940
224	851	2934
225	854	2927
226	857	2921
227	861	2915
228	863	2908
229	867	2902
230	870	2898
231	873	2891
232	876	2885
233	879	2878
234	882	2872
235	885	2867
236	888	2861
237	892	2856
238	895	2850
239	898	2844
240	901	2837
241	904	2831
242	906	2825
243	910	2819
244	912	2813
245	916	2808
246	919	2803
247	922	2797
248	925	2791
249	928	2786
250	932	2782
251	935	2777
252	938	2771
253	941	2766
254	945	2761
255	948	2757
256	962	2783
257	965	2777
258	969	2773
259	972	2768
260	975	2762
261	978	2756
262	981	2751
263	984	2745
264	988	2740
265	991	2735
266	994	2731
267	1009	2758
268	1013	2753
269	1016	2747
270	1019	2741
271	1022	2735
272	1025	2730
273	1028	2725
274	1041	2745
275	1044	2739
276	1047	2733
277	1050	2728
278	1053	2722
279	1056	2716
280	1059	2711
281	1062	2705
282	1065	2699
283	1068	2693
284	1071	2688
285	1074	2682
286	1077	2677
287	1080	2671
288	1083	2665
289	1086	2660
290	1089	2654
291	1092	2649
292	1095	2643
293	1098	2638
294	1101	2632
295	1104	2627
296	1107	2622
297	1110	2616
298	1113	2611
299	1117	2606
300	1120	2601
301	1123	2596
302	1126	2590
303	1129	2585
304	1132	2580
305	1135	2575
306	1138	2569
307	1141	2564
308	1144	2559
309	1147	2554
310	1150	2549
311	1153	2543
312	1156	2538
313	1159	2533
314	1162	2528
315	1165	2523
316	1168	2518
317	1171	2513
318	1174	2507
319	1177	2503
320	1180	2497
321	1184	2493
322	1187	2487
323	1190	2482
324	1193	2477
325	1196	2472
326	1199	2467
327	1202	2462
328	1205	2457
329	1207	2452
330	1210	2447
331	1213	2442
332	1216	2437
333	1219	2432
334	1222	2427
335	1225	2422
336	1228	2417
337	1231	2412
338	1234	2407
339	1237	2402
340	1241	2398
341	1244	2394
342	1248	2391
343	1256	2396
344	1260	2392
345	1263	2388
346	1266	2383
347	1269	2379
348	1273	2374
349	1276	2370
350	1279	2365
351	1282	2361
352	1286	2357
353	1289	2353
354	1292	2348
355	1296	2344
356	1299	2340
357	1302	2336
358	1305	2331
359	1309	2327
360	1312	2322
361	1315	2318
362	1318	2314
363	1321	2309
364	1324	2305
365	1328	2300
366	1331	2296
367	1334	2292
368	1337	2287
369	1341	2283
370	1344	2279
371	1347	2274
372	1350	2270
373	1353	2265
374	1356	2261
375	1360	2257
376	1363	2252
377	1382	2275
378	1386	2271
379	1389	2267
380	1392	2262
381	1396	2258
382	1399	2254
383	1402	2249
384	1405	2245
385	1408	2241
386	1412	2237
387	1415	2233
388	1419	2229
389	1422	2225
390	1425	2220
391	1429	2217
392	1432	2212
393	1435	2208
394	1439	2204
395	1442	2199
396	1445	2196
397	1449	2191
398	1452	2187
399	1455	2183
400	1458	2179
401	1462	2175
402	1476	2187
403	1491	2200
404	1494	2196
405	1498	2191
406	1501	2187
407	1504	2183
408	1507	2178
409	1511	2174
410	1514	2170
411	1517	2166
412	1520	2161
413	1540	2179
414	1543	2175
415	1546	2171
416	1549	2166
417	1552	2162
418	1556	2158
419	1560	2154
420	1563	2150
421	1567	2146
422	1570	2142
423	1574	2138
424	1577	2134
425	1581	2130
426	1584	2126
427	1588	2122
428	1591	2118
429	1594	2114
430	1600	2113
431	1616	2125
432	1619	2121
433	1623	2116
434	1626	2112
435	1629	2107
436	1648	2123
437	1651	2119
438	1655	2115
439	1658	2110
440	1661	2106
441	1664	2101
442	1679	2111
443	1682	2106
444	1685	2101
445	1688	2097
446	1691	2092
447	1694	2088
448	1697	2083
449	1700	2078
450	1704	2074
451	1707	2069
452	1710	2065
453	1742	2095
454	1745	2090
455	1748	2085
456	1751	2080
457	1754	2076
458	1757	2071
459	1760	2066
460	1763	2061
461	1766	2056
462	1769	2052
463	1772	2047
464	1775	2042
465	1778	2037
466	1781	2033
467	1784	2028
468	1787	2023
469	1790	2018
470	1793	2014
471	1796	2009
472	1799	2004
473	1802	1999
474	1805	1995
475	1808	1990
476	1811	1985
477	1814	1981
478	1817	1976
479	1820	1971
480	1823	1967
481	1826	1962
482	1829	1958
483	1832	1953
484	1835	1948
485	1838	1944
486	1841	1939
487	1844	1934
488	1847	1930
489	1850	1925
490	1853	1921
491	1856	1916
492	1859	1912
493	1862	1907
494	1865	1902
495	1868	1898
496	1871	1894
497	1874	1889
498	1877	1885
499	1880	1880
500	1883	1876
501	1886	1871
502	1889	1867
503	1892	1862
504	1895	1858
505	1899	1854
506	1902	1849
507	1905	1845
508	1908	1840
509	1911	1836
510	1929	1846
511	1933	1842
512	1936	1838
513	1939	1833
514	1942	1828
515	1945	1824
516	1948	1820
517	1960	1823
518	1963	1819
519	1966	1814
520	1969	1810
521	1972	1805
522	1975	1801
523	1978	1797
524	1981	1792
525	1984	1788
526	1987	1783
527	1990	1779
528	1994	1775
529	1997	1771
530	2000	1766
531	2003	1762
532	2006	1757
533	2009	1753
534	2012	1749
535	2015	1744
536	2018	1740
537	2021	1735
538	2024	1731
539	2027	1727
540	2030	1722
541	2033	1718
542	2036	1713
543	2039	1709
544	2042	1705
545	2045	1700
546	2048	1696
547	2051	1692
548	2054	1687
549	2057	1683
550	2060	1679
551	2063	1674
552	2066	1670
553	2069	1666
554	2072	1661
555	2075	1657
556	2078	1653
557	2081	1648
558	2084	1644
559	2087	1640
560	2090	1636
561	2093	1631
562	2096	1627
563	2099	1623
564	2102	1618
565	2105	1614
566	2108	1610
567	2111	1606
568	2115	1602
569	2118	1597
570	2121	1593
571	2124	1589
572	2127	1585
573	2130	1580
574	2133	1576
575	2136	1572
576	2139	1568
577	2142	1563
578	2145	1559
579	2148	1555
580	2151	1551
581	2154	1547
582	2157	1542
583	2160	1538
584	2163	1534
585	2166	1530
586	2169	1526
587	2172	1522
588	2175	1518
589	2178	1513
590	2181	1509
591	2184	1505
592	2187	1501
593	2190	1497
594	2193	1493
595	2208	1497
596	2211	1493
597	2214	1488
598	2217	1484
599	2220	1480
600	2223	1476
601	2226	1472
602	2240	1474
603	2243	1470
604	2246	1466
605	2249	1462
606	2252	1458
607	2255	1454
608	2272	1458
609	2275	1454
610	2278	1450
611	2281	1446
612	2285	1442
613	2288	1438
614	2291	1434
615	2294	1430
616	2297	1426
617	2301	1422
618	2335	1437
619	2338	1433
620	2351	1435
621	2355	1431
622	2358	1427
623	2361	1423
624	2366	1419
625	2369	1415
626	2373	1411
627	2376	1407
628	2379	1403
629	2382	1399
630	2385	1395
631	2389	1391
632	2392	1386
633	2395	1382
634	2398	1378
635	2401	1374
636	2405	1370
637	2408	1366
638	2412	1362
639	2415	1358
640	2419	1354
641	2422	1350
642	2427	1347
643	2430	1343
644	2434	1339
645	2437	1335
646	2440	1331
647	2444	1327
648	2447	1323
649	2450	1319
650	2453	1315
651	2456	1311
652	2460	1307
653	2463	1303
654	2466	1299
655	2470	1295
656	2473	1291
657	2476	1287
658	2479	1283
659	2482	1279
660	2490	1277
661	2493	1273
662	2497	1269
663	2500	1265
664	2504	1261
665	2521	1264
666	2538	1267
667	2541	1263
668	2544	1259
669	2553	1257
670	2557	1253
671	2560	1249
672	2564	1245
673	2567	1241
674	2584	1244
675	2588	1240
676	2591	1236
677	2594	1232
678	2597	1228
679	2601	1224
680	2605	1220
681	2608	1216
682	2612	1212
683	2615	1208
684	2618	1204
685	2622	1200
686	2626	1196
687	2629	1192
688	2648	1195
689	2663	1196
690	2666	1192
691	2669	1188
692	2672	1184
693	2675	1179
694	2678	1175
695	2681	1171
696	2684	1167
697	2687	1162
698	2690	1158
699	2693	1154
700	2696	1150
701	2699	1146
702	2702	1141
703	2705	1137
704	2708	1133
705	2711	1129
706	2714	1125
707	2717	1120
708	2720	1116
709	2723	1112
710	2727	1108
711	2730	1104
712	2733	1100
713	2736	1096
714	2739	1092
715	2743	1088
716	2746	1083
717	2749	1079
718	2752	1075
719	2755	1071
720	2759	1067
721	2762	1063
722	2765	1059
723	2768	1055
724	2771	1051
725	2774	1047
726	2778	1043
727	2785	1040
728	2788	1036
729	2791	1032
730	2794	1028
731	2797	1024
732	2800	1019
733	2803	1015
734	2806	1011
735	2809	1007
736	2812	1003
737	2815	999
738	2818	995
739	2821	991
740	2824	987
741	2827	983
742	2830	979
743	2833	974
744	2836	970
745	2839	966
746	2842	962
747	2845	958
748	2848	954
749	2851	950
750	2854	946
751	2857	942
752	2860	938
753	2863	934
754	2867	930
755	2870	926
756	2873	922
757	2876	918
758	2879	914
759	2882	910
760	2885	906
761	2888	902
762	2891	898
763	2894	894
764	2897	890
765	2900	886
766	2903	882
767	2906	878
768	2910	874
769	2913	870
770	2916	866
771	2919	862
772	2922	858
773	2925	854
774	2928	850
775	2932	846
776	2935	842
777	2938	838
778	2941	834
779	2957	834
780	2960	830
781	2963	826
782	2966	822
783	2969	818
784	2972	814
785	2975	810
786	2978	806
